date,close,peg
2021-04-22,8079.62,8.18
2021-04-23,8055.49,8.16
2021-04-26,7998.74,8.08
2021-04-27,8001.03,8.07
2021-04-28,8052.66,8.06
2021-04-29,8099.34,8.13
2021-04-30,8061.48,8.04
2021-05-06,8180.06,7.32
2021-05-07,8196.55,7.38
2021-05-10,8266.56,7.38
2021-05-11,8189.85,7.37
2021-05-12,8265.71,7.4
2021-05-13,8171.44,7.34
2021-05-14,8227.97,7.41
2021-05-17,8216.71,7.42
2021-05-18,8262.06,7.43
2021-05-19,8258.8,7.35
2021-05-20,8139.75,7.34
2021-05-21,8175.72,7.28
2021-05-24,8229.13,7.28
2021-05-25,8332.61,7.44
2021-05-26,8392.66,7.47
2021-05-27,8432.93,7.46
2021-05-28,8450.45,7.47
2021-05-31,8527.18,7.44
2021-06-01,8588.18,7.42
2021-06-02,8545.0,7.43
2021-06-03,8538.41,7.4
2021-06-04,8513.58,7.41
2021-06-07,8498.36,7.38
2021-06-08,8452.99,7.39
2021-06-09,8481.99,7.4
2021-06-10,8502.24,7.38
2021-06-11,8474.48,7.37
2021-06-15,8405.03,7.29
2021-06-16,8295.22,7.29
2021-06-17,8292.24,7.2
2021-06-18,8287.5,7.14
2021-06-21,8331.63,7.09
2021-06-22,8430.2,7.15
2021-06-23,8550.2,7.18
2021-06-24,8544.33,7.2
2021-06-25,8586.02,7.27
2021-06-28,8516.8,7.2
2021-06-29,8508.73,7.13
2021-06-30,8539.4,7.14
2021-07-01,8501.22,7.21
2021-07-02,8443.72,7.1
2021-07-05,8462.06,7.09
2021-07-06,8453.69,7.09
2021-07-07,8473.66,7.07
2021-07-08,8323.08,6.95
2021-07-09,8408.27,6.94
2021-07-12,8478.09,6.89
2021-07-13,8542.62,6.89
2021-07-14,8495.12,6.81
2021-07-15,8547.57,6.89
2021-07-16,8567.03,6.86
2021-07-19,8548.09,6.83
2021-07-20,8523.77,6.78
2021-07-21,8526.4,6.74
2021-07-22,8619.74,6.79
2021-07-23,8504.09,6.76
2021-07-26,8335.93,6.61
2021-07-27,8092.82,6.47
2021-07-28,8002.84,6.5
2021-07-29,8093.08,6.47
2021-07-30,8196.47,6.45
2021-08-02,8219.1,6.53
2021-08-03,8120.75,6.5
2021-08-04,8246.07,6.5
2021-08-05,8195.77,6.5
2021-08-06,8239.09,6.51
2021-08-09,8354.1,6.63
2021-08-10,8373.5,6.67
2021-08-11,8504.42,6.75
2021-08-12,8615.04,6.74
2021-08-13,8626.06,6.73
2021-08-16,8629.4,6.75
2021-08-17,8466.05,6.69
2021-08-18,8521.37,6.8
2021-08-19,8472.8,6.72
2021-08-20,8484.9,6.71
2021-08-23,8583.12,6.73
2021-08-24,8654.76,6.75
2021-08-25,8762.12,6.72
2021-08-26,8796.58,6.68
2021-08-27,8857.11,6.73
2021-08-30,8909.29,6.69
2021-08-31,9102.74,6.8
2021-09-01,9060.56,6.53
2021-09-02,9207.77,6.59
2021-09-03,9180.4,6.59
2021-09-06,9266.22,6.62
2021-09-07,9451.87,6.72
2021-09-08,9531.42,6.73
2021-09-09,9712.07,6.79
2021-09-10,9580.7,6.8
2021-09-13,9756.02,6.86
2021-09-14,9584.36,6.72
2021-09-15,9612.02,6.67
2021-09-16,9467.07,6.61
2021-09-17,9292.48,6.59
2021-09-22,9424.62,6.61
2021-09-23,9437.1,6.62
2021-09-24,9138.68,6.51
2021-09-27,8879.89,6.46
2021-09-28,9020.42,6.58
2021-09-29,8734.6,6.53
2021-09-30,8878.05,6.52
2021-10-08,8876.52,6.56
2021-10-11,8928.62,6.64
2021-10-12,8780.37,6.6
2021-10-13,8718.58,6.55
2021-10-14,8684.35,6.51
2021-10-15,8711.3,6.55
2021-10-18,8841.36,6.56
2021-10-19,8903.84,6.59
2021-10-20,8816.33,6.53
2021-10-21,8880.34,6.61
2021-10-22,8722.28,6.58
2021-10-25,8731.51,6.58
2021-10-26,8692.37,6.55
2021-10-27,8560.98,6.49
2021-10-28,8366.86,6.42
2021-10-29,8408.64,6.4
2021-11-01,8451.95,6.39
2021-11-02,8279.75,6.27
2021-11-03,8388.37,6.3
2021-11-04,8390.62,6.3
2021-11-05,8268.52,6.27
2021-11-08,8319.45,6.27
2021-11-09,8362.64,6.25
2021-11-10,8354.03,6.23
2021-11-11,8477.22,6.36
2021-11-12,8419.29,6.32
2021-11-15,8432.9,6.33
2021-11-16,8386.54,6.3
2021-11-17,8456.54,6.29
2021-11-18,8450.33,6.26
2021-11-19,8569.74,6.34
2021-11-22,8583.29,6.3
2021-11-23,8632.31,6.32
2021-11-24,8673.88,6.33
2021-11-25,8636.33,6.31
2021-11-26,8573.86,6.25
2021-11-29,8519.97,6.22
2021-11-30,8545.09,6.2
2021-12-01,8645.65,6.26
2021-12-02,8664.03,6.32
2021-12-03,8724.55,6.37
2021-12-06,8627.77,6.37
2021-12-07,8672.96,6.43
2021-12-08,8680.77,6.42
2021-12-09,8691.85,6.48
2021-12-10,8671.21,6.45
2021-12-13,8668.71,6.02
2021-12-14,8579.78,5.97
2021-12-15,8618.4,5.98
2021-12-16,8746.26,6.06
2021-12-17,8690.14,6.03
2021-12-20,8612.89,6.0
2021-12-21,8786.27,6.07
2021-12-22,8753.01,6.04
2021-12-23,8787.0,6.08
2021-12-24,8734.74,6.06
2021-12-27,8786.42,6.08
2021-12-28,8742.46,6.07
2021-12-29,8716.05,6.03
2021-12-30,8738.62,6.03
2021-12-31,8825.94,6.07
2022-01-04,8932.42,6.11
2022-01-05,8907.44,6.14
2022-01-06,8947.43,6.12
2022-01-07,8972.28,6.2
2022-01-10,9059.6,6.23
2022-01-11,9100.38,6.24
2022-01-12,9059.41,6.21
2022-01-13,9031.93,6.21
2022-01-14,8870.12,6.09
2022-01-17,8895.84,6.09
2022-01-18,8983.96,6.21
2022-01-19,9043.52,6.24
2022-01-20,9009.3,6.28
2022-01-21,8939.15,6.23
2022-01-24,8897.92,6.23
2022-01-25,8590.18,6.1
2022-01-26,8644.26,6.12
2022-01-27,8527.77,6.09
2022-01-28,8486.86,6.02
2022-02-07,8708.55,6.18
2022-02-08,8901.55,6.31
2022-02-09,8942.88,6.3
2022-02-10,9039.89,6.38
2022-02-11,9021.44,6.41
2022-02-14,8881.85,6.29
2022-02-15,8844.9,6.23
2022-02-16,8924.66,6.27
2022-02-17,8884.73,6.27
2022-02-18,9055.08,6.35
2022-02-21,9113.32,6.35
2022-02-22,9036.47,6.31
2022-02-23,9011.52,6.27
2022-02-24,8837.11,6.18
2022-02-25,8834.91,6.15
2022-02-28,8841.6,6.16
2022-03-01,8916.87,6.22
2022-03-02,8976.29,6.24
2022-03-03,9071.77,6.31
2022-03-04,9028.08,6.29
2022-03-07,8930.33,6.22
2022-03-08,8622.97,6.08
2022-03-09,8512.39,6.02
2022-03-10,8618.34,6.03
2022-03-11,8674.16,6.06
2022-03-14,8486.13,5.98
2022-03-15,7961.91,5.7
2022-03-16,8151.1,5.83
2022-03-17,8295.15,5.86
2022-03-18,8513.55,5.97
2022-03-21,8549.05,5.95
2022-03-22,8693.85,6.05
2022-03-23,8717.27,6.03
2022-03-24,8687.94,6.03
2022-03-25,8680.91,6.03
2022-03-28,8787.43,6.13
2022-03-29,8771.41,6.15
2022-03-30,8884.37,6.2
2022-03-31,8984.14,6.27
2022-04-01,9075.86,6.33
2022-04-06,9228.91,6.41
2022-04-07,9050.61,6.35
2022-04-08,9147.2,6.43
2022-04-11,8944.7,6.35
2022-04-12,8918.97,6.34
2022-04-13,8901.44,6.36
2022-04-14,9113.74,6.41
2022-04-15,9059.72,6.41
2022-04-18,8938.87,6.31
2022-04-19,9043.84,6.35
2022-04-20,8781.69,6.25
2022-04-21,8578.26,6.21
2022-04-22,8689.32,6.29
2022-04-25,8233.13,6.09
2022-04-26,8076.49,6.08
2022-04-27,8167.79,6.08
2022-04-28,8273.82,6.19
2022-04-29,8512.35,6.22
2022-05-05,8567.94,6.12
2022-05-06,8347.17,6.01
2022-05-09,8370.78,6.0
2022-05-10,8374.9,6.0
2022-05-11,8368.13,5.97
2022-05-12,8348.17,5.93
2022-05-13,8562.97,6.06
2022-05-16,8651.37,6.05
2022-05-17,8593.87,6.06
2022-05-18,8534.82,6.01
2022-05-19,8571.36,6.02
2022-05-20,8663.43,6.08
2022-05-23,8687.91,6.06
2022-05-24,8463.58,6.03
2022-05-25,8603.78,6.07
2022-05-26,8710.75,6.12
2022-05-27,8704.24,6.13
2022-05-30,8706.55,6.09
2022-05-31,8712.26,6.1
2022-06-01,8756.9,6.1
2022-06-02,8693.28,6.07
2022-06-06,8725.77,6.06
2022-06-07,8761.04,6.07
2022-06-08,8831.97,6.12
2022-06-09,8789.9,6.14
2022-06-10,8870.75,6.17
2022-06-13,8762.79,6.09
2022-06-14,8886.59,6.18
2022-06-15,8884.63,6.2
2022-06-16,8760.09,6.09
2022-06-17,8761.32,6.11
2022-06-20,8723.59,6.06
2022-06-21,8738.33,6.09
2022-06-22,8622.29,6.03
2022-06-23,8742.62,6.1
2022-06-24,8738.73,6.07
2022-06-27,8817.89,6.11
2022-06-28,8897.01,6.13
2022-06-29,8865.6,6.15
2022-06-30,8903.19,6.16
2022-07-01,8937.14,6.18
2022-07-04,8968.29,6.19
2022-07-05,8981.21,6.21
2022-07-06,8811.01,6.12
2022-07-07,8879.0,6.12
2022-07-08,8890.52,6.13
2022-07-11,8780.22,6.06
2022-07-12,8796.36,6.03
2022-07-13,8810.95,5.98
2022-07-14,8714.6,5.9
2022-07-15,8537.79,5.73
2022-07-18,8751.4,5.84
2022-07-19,8785.61,5.85
2022-07-20,8815.47,5.86
2022-07-21,8697.88,5.76
2022-07-22,8658.96,5.77
2022-07-25,8651.04,5.78
2022-07-26,8778.8,5.83
2022-07-27,8786.7,5.8
2022-07-28,8833.0,5.8
2022-07-29,8760.51,5.76
2022-08-01,8789.28,5.76
2022-08-02,8541.68,5.67
2022-08-03,8430.13,5.62
2022-08-04,8476.72,5.66
2022-08-05,8542.97,5.68
2022-08-08,8678.47,5.7
