date,close,peg
2015-06-01,5076.18,19.24
2015-06-02,5161.87,19.49
2015-06-03,5143.59,19.42
2015-06-04,5181.42,19.6
2015-06-05,5230.55,19.81
2015-06-08,5353.75,20.38
2015-06-09,5317.46,20.25
2015-06-10,5309.11,20.06
2015-06-11,5306.59,20.0
2015-06-12,5335.12,20.1
2015-06-15,5221.17,20.14
2015-06-16,5064.82,19.49
2015-06-17,5138.83,19.79
2015-06-18,4930.55,18.97
2015-06-19,4637.05,17.85
2015-06-23,4786.09,18.42
2015-06-24,4880.13,18.81
2015-06-25,4706.52,18.14
2015-06-26,4336.19,16.77
2015-06-29,4191.55,16.35
2015-06-30,4473.0,17.37
2015-07-01,4253.02,16.53
2015-07-02,4108.0,16.18
2015-07-03,3885.92,15.23
2015-07-06,3998.54,15.88
2015-07-07,3928.0,15.88
2015-07-08,3663.04,14.91
2015-07-09,3897.63,15.79
2015-07-10,4106.56,16.48
2015-07-13,4211.81,16.66
2015-07-14,4112.15,16.25
2015-07-15,3966.76,15.9
2015-07-16,3997.36,15.91
2015-07-17,4151.5,16.33
2015-07-20,4160.61,16.41
2015-07-21,4166.01,16.41
2015-07-22,4157.16,16.35
2015-07-23,4250.81,16.66
2015-07-24,4176.28,16.4
2015-07-27,3818.73,14.8
2015-07-28,3811.09,14.7
2015-07-29,3930.38,15.1
2015-07-30,3815.41,14.71
2015-07-31,3816.7,14.66
2015-08-03,3829.24,14.68
2015-08-04,3948.16,15.09
2015-08-05,3866.9,14.77
2015-08-06,3831.85,14.63
2015-08-07,3906.94,14.89
2015-08-10,4084.36,15.55
2015-08-11,4066.67,15.49
2015-08-12,4016.13,15.31
2015-08-13,4075.46,15.51
2015-08-14,4073.54,15.49
2015-08-17,4077.87,15.46
2015-08-18,3825.41,14.64
2015-08-19,3886.14,14.77
2015-08-20,3761.45,14.28
2015-08-21,3589.54,13.7
2015-08-24,3275.53,12.54
2015-08-25,3042.93,11.62
2015-08-26,3025.69,11.58
2015-08-27,3205.64,12.23
2015-08-28,3342.29,12.73
2015-08-31,3366.54,12.79
2015-09-01,3362.08,12.96
2015-09-02,3365.83,13.09
2015-09-07,3250.49,12.56
2015-09-08,3334.02,12.83
2015-09-09,3399.31,13.07
2015-09-10,3357.56,12.9
2015-09-11,3347.19,12.83
2015-09-14,3281.13,12.61
2015-09-15,3152.23,12.21
2015-09-16,3309.25,12.72
2015-09-17,3237.0,12.45
2015-09-18,3251.27,12.46
2015-09-21,3308.25,12.64
2015-09-22,3339.03,12.75
2015-09-23,3263.03,12.46
2015-09-24,3285.0,12.53
2015-09-25,3231.95,12.38
2015-09-28,3242.75,12.39
2015-09-29,3178.85,12.12
2015-09-30,3202.95,12.19
2015-10-08,3296.48,12.53
2015-10-09,3340.12,12.67
2015-10-12,3447.69,13.06
2015-10-13,3445.04,12.94
2015-10-14,3406.11,12.81
2015-10-15,3486.82,13.08
